nature_code,business_nature,line_code,business_line,license,permit,sanitary,garbage
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1169,"Growing of other fiber crops, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1171,"Growing of leafy and stem vegetables such as : cabbage, broccoli, cauliflower, lettuce, asparagus, pechay, kangkong and other leafy or stem vegetables",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1172,"Growing of fruit bearing vegetables such as: tomato, eggplant, cucumber, ampalaya, squash, gourd and other fruit bearing vegetables, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1179,"Growing of other leafy and fruit bearing vegetables, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1181,Growing of onion,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1182,Growing of garlic,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1183,Growing of carrot,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1184,Growing of potato,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1185,Growing of cassava,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1186,Growing of sweet potato (camote),,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1187,Growing of  melons and watermelons,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1188,Growing of yams (ube),,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1189,"Growing of other roots, bulbs, tuberous crops and vegetables including mushroom",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1191,Growing of orchids,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1192,"Growing of flowers or flower buds, (except orchids), cut flowers",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1193,Production or growing of horticultural specialties including nursery products and ornamental plants,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1194,"Growing of plant materials used chiefly in medicinal/ pharmaceutical or for insecticidal, fungicidal or similar purposes",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1195,"Growing of crops chiefly for construction, furniture and other purposes (e.g., bamboo, buri, nipa, etc.)",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1196,Growing of forage crops and other grasses,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1199,"Growing of other non-perennial crops, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1211,"Growing of banana, cavendish",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1212,Growing of other banana,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1220,Growing of pineapple,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1231,Growing of calamansi,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1232,Growing of dalandan,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1233,Growing of mandarin (dalanghita),,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1234,Growing of pomelo (suha),,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1235,"Growing of citrus fruits, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1240,Growing of mango,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1250,Growing of papaya,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1260,"Growing of coconut, including copra-making, tuba gathering and coco-shell charcoal and coconut sap syrup making in the farm",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1271,Growing of coffee plant,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1272,Growing of cacao,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1273,Growing of tea plant,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1279,Growing of other beverage crops,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1281,"Growing of perennial spices and aromatic crops such as: ginger, pepper,  chili, achuete, laurel, etc.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1282,"Growing of plants used primarily  in medical/ pharmaceutical purposes such as : lagundi, banaba, ginseng, oregano, etc.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1283,"Growing of plants for insecticidal, fungicidal or similar purposes",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1284,Growing of crops used primarily in perfumery or similar purposes,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1289,"Growing of other spices, aromatic, drug and pharmaceutical crops, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1291,"Growing of  other  tropical fruits, e.g. jackfruit, guavas, avocados, lanzones, durian, rambutan, chico, atis, mangosteen, makopa, dragon fruit etc.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1292,"Growing of perennial trees with edible  nuts, e.g. pili nuts, cashew nuts, etc",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1293,Growing of rubber tree,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1294,Growing of jatropha tree,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1295,"Growing of ornamental or decorative trees such as Christmas or pine trees, fire trees, etc.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1296,"Growing of oleaginous fruits, except coconut",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1297,"Growing of bush fruits, including strawberries",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1299,"Growing of other fruits and perennial crops, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1300,Plant propagation,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1411,Beef cattle farming (including feed lot fattening),,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1412,Carabao farming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1420,Raising of horses and other equines,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1430,Dairy farming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1441,Sheep farming including sheep shearing by the owner,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1442,Goat farming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1443,Deer faming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1450,Hog raising ,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1461,"Raising (farming) of chicken, broiler",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1462,"Raising (farming) of chicken, layer",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1463,"Raising (farming) of chicken, native",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1471,Raising of duck broiler,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1472,Raising of quail,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1473,Raising of turkey,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1474,Raising of pigeon ,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1475,Raising of game fowl,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1476,Raising of duck layer,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1479,"Raising of poultry (except chicken), n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1481,Chicken egg production,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1482,Duck egg production,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1483,Quail egg production,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1489,"Production of eggs, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1491,Sericulture (silkworm culture for the production of cocoon),,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1492,Apiary (bee culture for the production of honey),,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1493,Vermiculture,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1494,Crocodile/alligator farming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1495,Rabbit farming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1496,"Raising of semi-domesticated or wild animals including birds, reptiles, insects (e.g. butterfly) and turtles",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1497,Raising and breeding of cats and dogs,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1498,Game propagation and breeding activities,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1499,"Raising of other animals, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1511,Operation of irrigation systems through cooperatives,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1512,Operation of irrigation systems through non-cooperatives,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1520,"Planting, transplanting and other related activities",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1531,"Plowing, seeding, weeding, thinning, pruning and similar services",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1532,Fertilizer applications,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1533,"Chemical and mechanical weed control, disease and pest control services",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1534,"Services to establish crops, promote their growth and protect them from pests and diseases, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1540,"Harvesting, threshing, grading, bailing and related services",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1550,Rental of farm machinery with drivers and crew,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1561,Artificial insemination services,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1562,Contract animal growing services on a fee basis,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1563,"Egg-hatching, sex determination and other poultry services",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1564,"Services to promote propagation, growth and output of animals",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1565,Farm management services,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1569,"Other support activities for animal production, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1571,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1572,Cotton ginning,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1573,Preparation of tobacco leaves,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1574,"Preparation of coffee, cacao and cocoa beans",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1575,Preparation of abaca fiber including stripping and drying,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1581,"Seed processing for propagation, paddy rice",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1589,"Seed processing for propagation, other crops",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1701,Hunting and trapping wild animals in the forest,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1702,Production of reptile skins or bird skins and other animal skins from hunting activities,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",1709,"Hunting, trapping and other related activities, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",2110,"Growing of timber forest species (e.g. Gmelina, Eucalyptus, etc.), planting, replanting, transplanting, thinning and conserving of forest and timber tracts",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",2120,Operation of forest tree nurseries,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",2201,Production of roundwood for forest-based manufacturing industries,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",2202,"Production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",2203,Firewood cutting & charcoal making in the forest,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",2300,Gathering of non-wood forest products,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",2400,Support services to forestry,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3111,"Ocean fishing, commercial (using vessels over 3 tons)",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3112,"Coastal fishing, municipal (using vessels of less than 3 tons)",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3113,Fish corral fishing,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3121,"Catching fish, crabs and crustaceans in inland waters",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3122,"Gathering shells and clams, edible, in inland waters",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3129,"Other freshwater fishing activities, n.e.c.",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3130,Support service activities incidental to fishing,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3211,"Operation of freshwater fishpond, except fish breeding farms and nurseries",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3212,Operation of   freshwater  fish pens and fish cage  ,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3213,Operation of freshwater fish breeding farms and nurseries,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3214,Culture of freshwater ornamental fish  ,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3219,Other freshwater fish farming activities,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3221,"Operation of marine fish tanks, pens, cage except fish breeding farms and nurseries in sea water",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3222,Operation of marine fish breeding farms and nurseries,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3223,Catching and culturing ornamental (aquarium) fish,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3224,Gathering of fry ,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3229,Other marine fish farming activities,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3230,Prawn culture in brackish water,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3241,"Culture of freshwater crustaceans (except prawns), bivalves, and other mollusks ",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3242,"Culture of oysters, other bivalves and other mollusks in sea water",,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3251,Pearl culture,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3252,Pearl shell gathering,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3261,Seaweeds farming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3262,Gathering of laver and other seaweeds,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3291,Frog farming,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3292,Operation of marine worm farms,,,,
2019-A,"(A) AGRICULTURE, FORESTRY AND FISHING",3299,"Other aquaculture activities, n.e.c",,,,
2019-B,(B) MINING AND QUARRYING,5100,Mining of hard coal,,,,
2019-B,(B) MINING AND QUARRYING,5200,Mining of lignite,,,,
2019-B,(B) MINING AND QUARRYING,6100,Extraction of crude petroleum,,,,
2019-B,(B) MINING AND QUARRYING,6200,Extraction of natural gas,,,,
2019-B,(B) MINING AND QUARRYING,7100,Mining of iron ores,,,,
2019-B,(B) MINING AND QUARRYING,7210,Mining of uranium and thorium ores,,,,
2019-B,(B) MINING AND QUARRYING,7221,Gold ore mining,,,,
2019-B,(B) MINING AND QUARRYING,7222,Silver ore mining,,,,
2019-B,(B) MINING AND QUARRYING,7229,Mining of other precious metal ores,,,,
2019-B,(B) MINING AND QUARRYING,7291,Copper ore mining,,,,
2019-B,(B) MINING AND QUARRYING,7292,Chromite ore mining,,,,
2019-B,(B) MINING AND QUARRYING,7293,Manganese ore mining,,,,
2019-B,(B) MINING AND QUARRYING,7294,Nickel ore mining,,,,
2019-B,(B) MINING AND QUARRYING,7299,"Mining of other non-ferrous metal ores, n.e.c.",,,,
2019-B,(B) MINING AND QUARRYING,8101,Marble quarrying,,,,
2019-B,(B) MINING AND QUARRYING,8102,Limestone quarrying,,,,
2019-B,(B) MINING AND QUARRYING,8103,"Stone quarrying, except limestone and marble",,,,
2019-B,(B) MINING AND QUARRYING,8104,Clay quarrying,,,,
2019-B,(B) MINING AND QUARRYING,8105,Sand and gravel quarrying,,,,
2019-B,(B) MINING AND QUARRYING,8106,Silica sand and silica stone quarrying,,,,
2019-B,(B) MINING AND QUARRYING,8109,"Stone quarrying, clay and sand pits, n.e.c.",,,,
2019-B,(B) MINING AND QUARRYING,8911,Baryte mining,,,,
2019-B,(B) MINING AND QUARRYING,8912,Guano gathering,,,,
2019-B,(B) MINING AND QUARRYING,8913,Pyrite mining,,,,
2019-B,(B) MINING AND QUARRYING,8914,Rock phosphate mining,,,,
2019-B,(B) MINING AND QUARRYING,8915,Sulphur mining,,,,
2019-B,(B) MINING AND QUARRYING,8919,Other chemical and fertilizer mineral mining,,,,
2019-B,(B) MINING AND QUARRYING,8920,Extraction of peat,,,,
2019-B,(B) MINING AND QUARRYING,8930,Extraction of salt,,,,
2019-B,(B) MINING AND QUARRYING,8990,"Other mining and quarrying, n.e.c.",,,,
2019-B,(B) MINING AND QUARRYING,9101,Oil and gas extraction activities on a fee or contract basis,,,,
2019-B,(B) MINING AND QUARRYING,9102,Oil and gas extraction activities not performed on a fee or contract basis ,,,,
2019-B,(B) MINING AND QUARRYING,9900,Support activities for other mining and quarrying,,,,
2019-C,(C) MANUFACTURING,10110,Slaughtering and meat packing,,,,
2019-C,(C) MANUFACTURING,10121,"Production, processing and preserving of meat and meat products including tocino, tapa, ham, bacon, sausage, longanisa, corned beef, hotdog, meat loaf, and bologna",,,,
2019-C,(C) MANUFACTURING,10122,"Production of fresh, chilled or frozen meat or poultry",,,,
2019-C,(C) MANUFACTURING,10123,Rendering of lard and other edible fats of animal origin,,,,
2019-C,(C) MANUFACTURING,10124,Production of flours and meals of meat or meat offal,,,,
2019-C,(C) MANUFACTURING,10129,"Production, processing and preserving of meat and meat products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10201,Canning/packing of fish and other marine products,,,,
2019-C,(C) MANUFACTURING,10202,Drying of fish and other marine products,,,,
2019-C,(C) MANUFACTURING,10203,Smoking of fish (tinapa) and other marine products,,,,
2019-C,(C) MANUFACTURING,10204,Manufacture of fish paste (bagoong) and fish sauce (patis),,,,
2019-C,(C) MANUFACTURING,10205,Processing of seaweeds; manufacture of agar-agar or carrageenan,,,,
2019-C,(C) MANUFACTURING,10206,Production of fishmeal/prawn feeds,,,,
2019-C,(C) MANUFACTURING,10207,"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",,,,
2019-C,(C) MANUFACTURING,10209,"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10301,Canning/packing and preserving of fruits and fruit juices,,,,
2019-C,(C) MANUFACTURING,10302,Canning/packing and preserving of vegetables and vegetable juices ,,,,
2019-C,(C) MANUFACTURING,10303,Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),,,,
2019-C,(C) MANUFACTURING,10304,Quick-freezing of fruits and vegetables,,,,
2019-C,(C) MANUFACTURING,10305,Manufacture of potato flour and meal,,,,
2019-C,(C) MANUFACTURING,10306,Roasting of nut or manufacture of nut foods and pastes,,,,
2019-C,(C) MANUFACTURING,10307,"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",,,,
2019-C,(C) MANUFACTURING,10308,Manufacture of desiccated coconut ,,,,
2019-C,(C) MANUFACTURING,10309,"Processing and preserving of fruits and vegetables, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10410,Manufacture of virgin coconut oil,,,,
2019-C,(C) MANUFACTURING,10440,"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",,,,
2019-C,(C) MANUFACTURING,10450,Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,,,,
2019-C,(C) MANUFACTURING,10460,Manufacture of fish oil and other marine animal oils,,,,
2019-C,(C) MANUFACTURING,10470,"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",,,,
2019-C,(C) MANUFACTURING,10490,"Manufacture of vegetable and animal oil and fats, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10510,Processing of fresh milk and cream,,,,
2019-C,(C) MANUFACTURING,10520,"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",,,,
2019-C,(C) MANUFACTURING,10530,Manufacture of infants' powdered milk,,,,
2019-C,(C) MANUFACTURING,10540,"Manufacture of butter, cheese and curd",,,,
2019-C,(C) MANUFACTURING,10550,"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",,,,
2019-C,(C) MANUFACTURING,10560,Manufacture of milk-based infants' and dietetic foods,,,,
2019-C,(C) MANUFACTURING,10570,Manufacture of yoghurt,,,,
2019-C,(C) MANUFACTURING,10580,Manufacture of whey,,,,
2019-C,(C) MANUFACTURING,10590,"Manufacture of dairy products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10610,Rice/corn milling,,,,
2019-C,(C) MANUFACTURING,10621,Cassava flour milling,,,,
2019-C,(C) MANUFACTURING,10622,Flour milling except cassava flour milling,,,,
2019-C,(C) MANUFACTURING,10623,"Manufacture of cereal breakfast foods obtained by roasting or swelling, etc.",,,,
2019-C,(C) MANUFACTURING,10624,Manufacture of unprepared animal feeds from grain milling residues,,,,
2019-C,(C) MANUFACTURING,10625,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",,,,
2019-C,(C) MANUFACTURING,10629,"Manufacture of grain and vegetable mill products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10630,Manufacture of starches and starch products,,,,
2019-C,(C) MANUFACTURING,10711,"Baking of bread, cakes, pastries, pies and similar ""perishable"" bakery products, including hopia and doughnut making",,,,
2019-C,(C) MANUFACTURING,10712,"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",,,,
2019-C,(C) MANUFACTURING,10713,Manufacture of ice cream cones (apa) and wafers (barquillos),,,,
2019-C,(C) MANUFACTURING,10714,"Manufacture of snack products such as corn curls, wheat crunchies and similar products",,,,
2019-C,(C) MANUFACTURING,10721,Sugarcane milling,,,,
2019-C,(C) MANUFACTURING,10722,Sugar refining,,,,
2019-C,(C) MANUFACTURING,10723,Manufacture of muscovado sugar not carried on in the farm,,,,
2019-C,(C) MANUFACTURING,10724,Manufacture of molasses,,,,
2019-C,(C) MANUFACTURING,10725,Manufacture of coconut sap sugar,,,,
2019-C,(C) MANUFACTURING,10726,"Manufacture of palm sugar (buri, nipa), except coconut",,,,
2019-C,(C) MANUFACTURING,10729,"Manufacture of sugar, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10731,Manufacture of chocolate and cocoa products including chocolate candies,,,,
2019-C,(C) MANUFACTURING,10732,Manufacture of candies (excluding chocolate candies) and chewing gum,,,,
2019-C,(C) MANUFACTURING,10733,Manufacture of popcorn and poprice,,,,
2019-C,(C) MANUFACTURING,10739,"Manufacture of chocolate and sugar confectionery products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10740,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,
2019-C,(C) MANUFACTURING,10750,Manufactured of prepared meals and dishes,,,,
2019-C,(C) MANUFACTURING,10760,Manufacture of food supplements from herbs and other plants,,,,
2019-C,(C) MANUFACTURING,10770,Coffee roasting and processing,,,,
2019-C,(C) MANUFACTURING,10781,Manufacture of nata de coco,,,,
2019-C,(C) MANUFACTURING,10782,"Manufacturing of native delicacies  or ""kakanin"" e.g., bibingka, puto, suman, kalamay, binagol, moron and other similar products",,,,
2019-C,(C) MANUFACTURING,10791,"Manufacture of herb from drying and further extraction (e.g. banaba, ampalaya, moringa (malunggay), sambong, lagundi etc.)",,,,
2019-C,(C) MANUFACTURING,10792,"Manufacture of ice, except dry ice",,,,
2019-C,(C) MANUFACTURING,10793,"Manufacture of soup containing meat, fish, crustaceans, mollusks or pasta",,,,
2019-C,(C) MANUFACTURING,10794,Manufacture of infant or dietetic foods containing homogenized ingredients,,,,
2019-C,(C) MANUFACTURING,10795,Egg processing including fertilized egg (balut) and salted eggs,,,,
2019-C,(C) MANUFACTURING,10796,Manufacture of flavoring extracts and food coloring ,,,,
2019-C,(C) MANUFACTURING,10797,"Manufacture of mayonnaise, salad dressing, sandwich spread and similar products",,,,
2019-C,(C) MANUFACTURING,10798,Manufacture of vinegar,,,,
2019-C,(C) MANUFACTURING,10799,"Manufacture of food products, n.e.c.",,,,
2019-C,(C) MANUFACTURING,10800,Manufacture of prepared animal feeds,,,,
