business_bin,application_type,application_date,year,qtr_from,qtr_to,amount,discount,surcharge,interest,total,issued_date,valid_until,or_no,or_date,permit_no,business_plate_number,mode_of_payment
0403424-2024-0001066,R,01/02/2025,2025,2,2,19312.5,0,0,0,19312.5,01/27/2025,12/31/2025,1445102,04/15/2025,,0083,MANUAL
0403424-2024-0001067,R,01/17/2025,2025,1,4,4198,0,0,0,4198,01/04/2025,12/31/2025,5457485,01/02/2025,,0084,MANUAL
0403424-2024-0001068,R,01/17/2025,2025,1,4,10548,0,0,0,10548,01/04/2025,12/31/2025,4864844,01/02/2025,,0085,MANUAL
0403424-2024-0001069,R,01/17/2025,2025,1,4,10348,0,0,0,10348,01/17/2025,12/31/2025,9963688,01/17/2025,,0086,MANUAL
0403424-2024-0001070,R,01/02/2025,2025,1,4,6708,0,0,0,6708,01/17/2025,12/31/2025,9963685,01/17/2025,,0087,MANUAL
0403424-2024-0001071,R,01/02/2025,2025,1,4,5636,0,0,0,5636,01/17/2025,12/31/2025,9963687,01/17/2025,,0088,MANUAL
0403424-2024-0001072,R,01/03/2025,2025,1,1,5398,0,0,0,5398,01/04/2025,12/31/2025,4864845,01/02/2025,,0089,MANUAL
0403424-2024-0001072,R,01/03/2025,2025,2,2,1650,0,0,0,1650,01/04/2025,12/31/2025,2372642,04/11/2025,,0089,MANUAL
0403424-2024-0001072,R,01/03/2025,2025,3,3,1650,0,0,0,1650,01/04/2025,12/31/2025,2372642,04/11/2025,,0089,MANUAL
0403424-2024-0001073,R,01/08/2025,2025,1,4,10766,0,0,0,10766,01/04/2025,12/31/2025,4864823,01/02/2025,,0090,MANUAL
0403424-2024-0001074,R,01/06/2025,2025,1,4,18598,0,0,0,18598,01/28/2025,12/31/2025,2373087,01/28/2025,,0091,MANUAL
0403424-2024-0001075,R,03/20/2025,2025,1,4,13156,0,0,0,13156,01/30/2025,12/31/2025,2373116,01/28/2025,,0092,MANUAL
0403424-2024-0001076,R,01/02/2025,2025,1,4,6116,0,0,0,6116,01/04/2025,12/31/2025,5814186,01/03/2025,,0093,MANUAL
0403424-2024-0001077,R,01/20/2025,2025,1,4,5048,0,0,0,5048,01/08/2025,12/31/2025,5812846,01/08/2025,,0094,MANUAL
0403424-2024-0001078,R,01/02/2025,2025,1,4,11848,0,0,0,11848,01/06/2025,12/31/2025,4864996,01/06/2025,,0095,MANUAL
0403424-2025-0001079,N,01/03/2025,2025,1,4,29513.1,0,0,0,29513.1,03/20/2025,12/31/2025,1383038,03/20/2025,,0096,MANUAL
0403424-2024-0001080,R,01/04/2025,2025,1,4,5452,0,0,0,5452,01/04/2025,12/31/2025,7060201,01/02/2025,,0097,MANUAL
0403424-2025-0001081,N,01/24/2025,2025,1,4,2193,0,0,0,2193,01/20/2025,12/31/2025,9963901,01/20/2025,,0098,MANUAL
0403424-2024-0001082,R,01/02/2025,2025,1,4,5056,0,0,0,5056,01/04/2025,12/31/2025,5457433,01/02/2025,,0099,MANUAL
0403424-2024-0001083,R,01/02/2025,2025,1,4,14516,0,0,0,14516,01/04/2025,12/31/2025,4864957,01/04/2025,,0100,MANUAL
0403424-2024-0001084,R,01/02/2025,2025,1,4,21451.2,0,0,0,21451.2,01/04/2025,12/31/2025,5814217,01/04/2025,,0101,MANUAL
0403424-2024-0001085,R,01/02/2025,2025,1,4,12589.25,0,0,0,12589.25,01/28/2025,12/31/2025,2373088,01/28/2025,,0102,MANUAL
0403424-2024-0001086,R,01/06/2025,2025,1,4,5108,0,0,0,5108,01/04/2025,12/31/2025,5457495,01/02/2025,,0103,MANUAL
0403424-2024-0001087,R,01/06/2025,2025,1,4,7290,0,0,0,7290,01/04/2025,12/31/2025,4864808,01/02/2025,,0104,MANUAL
0403424-2024-0001088,R,01/10/2025,2025,1,4,4366,0,0,0,4366,01/04/2025,12/31/2025,5457498,01/02/2025,,0105,MANUAL
0403424-2024-0001089,R,01/02/2025,2025,1,4,6628,0,0,0,6628,01/04/2025,12/31/2025,5812554,01/03/2025,,0106,MANUAL
0403424-2024-0001090,R,01/02/2025,2025,1,1,5548,0,0,0,5548,01/06/2025,12/31/2025,484985,01/06/2025,,0107,MANUAL
0403424-2024-0001090,R,01/02/2025,2025,2,2,2350,0,0,0,2350,01/06/2025,12/31/2025,1396006,04/02/2025,,0107,MANUAL
0403424-2024-0001090,R,01/02/2025,2025,3,3,2350,0,0,0,2350,01/06/2025,12/31/2025,1445354,07/02/2025,,0107,MANUAL
0403424-2024-0001091,R,01/30/2025,2025,1,1,6248,0,0,0,6248,01/06/2025,12/31/2025,5814250,01/06/2025,,0108,MANUAL
0403424-2024-0001091,R,01/30/2025,2025,2,2,2350,0,0,0,2350,01/06/2025,12/31/2025,1396005,04/02/2025,,0108,MANUAL
0403424-2024-0001091,R,01/02/2025,2025,3,3,2350,0,0,0,2350,01/06/2025,12/31/2025,1445355,07/02/2025,,0108,MANUAL
0403424-2024-0001092,R,01/08/2025,2025,1,4,7920.5,0,0,0,7920.5,01/10/2025,12/31/2025,9946139,01/10/2025,,0109,MANUAL
0403424-2024-0001093,R,01/24/2025,2025,1,4,3683,0,0,0,3683,01/04/2025,12/31/2025,4864805,01/02/2025,,0110,MANUAL
0403424-2024-0001094,R,01/14/2025,2025,1,4,6876,0,0,0,6876,01/04/2025,12/31/2025,4864781,01/02/2025,,0111,MANUAL
0403424-2024-0001098,R,01/14/2025,2025,1,4,3766,0,0,0,3766,01/31/2025,12/31/2025,2372070,01/31/2025,,0115,MANUAL
0403424-2024-0001100,R,01/20/2025,2025,1,4,13716,0,0,0,13716,01/08/2025,12/31/2025,9945834,01/08/2025,,0117,MANUAL
0403424-2024-0001101,R,01/02/2025,2025,1,1,5185.5,0,0,0,5185.5,01/28/2025,12/31/2025,2371651,01/24/2025,,0118,MANUAL
0403424-2024-0001101,R,01/02/2025,2025,2,2,1577.82,0,0,0,1577.82,01/28/2025,12/31/2025,1445159,04/30/2025,,0118,MANUAL
0403424-2024-0001102,R,02/20/2025,2025,1,4,10086,0,0,0,10086,01/28/2025,12/31/2025,9963510,01/14/2025,,0119,MANUAL
0403424-2024-0001103,R,01/25/2025,2025,1,4,9398,0,0,0,9398,01/21/2025,12/31/2025,9963941,01/21/2025,,0120,MANUAL
0403424-2024-0001105,R,01/06/2025,2025,1,4,3398,0,0,0,3398,01/18/2025,12/31/2025,9963774,01/18/2025,,0122,MANUAL
0403424-2024-0001106,R,01/14/2025,2025,1,4,4140.5,0,0,0,4140.5,01/14/2025,12/31/2025,9966036,01/14/2025,,0123,MANUAL
0403424-2024-0001107,R,02/12/2025,2025,1,4,9666,0,0,0,9666,01/04/2025,12/31/2025,5814159,01/03/2025,,0124,MANUAL
0403424-2024-0001108,R,01/20/2025,2025,1,4,5214,0,0,0,5214,01/20/2025,12/31/2025,9966393,01/20/2025,,0125,MANUAL
0403424-2024-0001109,R,01/06/2025,2025,1,4,4820,0,0,0,4820,01/04/2025,12/31/2025,4864960,01/04/2025,,0126,MANUAL
0403424-2025-0001111,N,01/18/2025,2025,1,4,3163,0,0,0,3163,02/20/2025,12/31/2025,2372243,02/20/2025,,0128,MANUAL
0403424-2024-0001112,R,01/14/2025,2025,1,4,5798,0,0,0,5798,01/30/2025,12/31/2025,2372722,01/25/2025,,0129,MANUAL
0403424-2024-0001113,R,01/21/2025,2025,1,4,4758,0,0,0,4758,01/27/2025,12/31/2025,9976954,01/21/2025,,0130,MANUAL
0403424-2024-0001114,R,01/02/2025,2025,1,4,11448,0,0,0,11448,01/06/2025,12/31/2025,4864988,01/06/2025,,0131,MANUAL
0403424-2024-0001115,R,01/08/2025,2025,1,4,35046.1,0,0,0,35046.1,01/04/2025,12/31/2025,5457426,01/02/2025,,0132,MANUAL
0403424-2024-0001116,R,01/07/2025,2025,1,4,25982.14,0,0,0,25982.14,02/02/2025,12/31/2025,2389904,02/12/2025,,0133,MANUAL
0403424-2024-0001118,R,01/31/2025,2025,1,4,8156,0,0,0,8156,01/06/2025,12/31/2025,5814271,01/06/2025,,0135,MANUAL
0403424-2024-0001119,R,01/03/2025,2025,1,4,5666,0,0,0,5666,01/04/2025,12/31/2025,5814161,01/03/2025,,0136,MANUAL
0403424-2024-0001120,R,01/02/2025,2025,1,4,3653,0,0,0,3653,01/18/2025,12/31/2025,9963784,01/18/2025,,0137,MANUAL
0403424-2024-0001121,R,01/14/2025,2025,1,4,10136,0,0,0,10136,01/14/2025,12/31/2025,9966051,01/14/2025,,0138,MANUAL
0403424-2024-0001123,R,01/13/2025,2025,1,4,7758,0,0,0,7758,01/04/2025,12/31/2025,5457492,01/02/2025,,0140,MANUAL
0403424-2024-0001124,R,01/08/2025,2025,1,4,10480,0,0,0,10480,01/08/2025,12/31/2025,6645095,01/08/2025,,0141,MANUAL
0403424-2024-0001125,R,01/20/2025,2025,1,4,10844.77,0,0,0,10844.77,01/09/2025,12/31/2025,9946681,01/08/2025,,0142,MANUAL
0403424-2024-0001126,R,01/21/2025,2025,1,2,5188,0,0,0,5188,01/30/2025,12/31/2025,2387073,01/30/2025,,0143,MANUAL
0403424-2024-0001127,R,02/20/2025,2025,1,4,7048,0,0,0,7048,01/31/2025,12/31/2025,2389656,01/31/2025,,0144,MANUAL
0403424-2024-0001129,R,01/31/2025,2025,1,4,26034,0,0,0,26034,01/04/2025,12/31/2025,4864802,01/02/2025,,0146,MANUAL
0403424-2024-0001132,R,01/13/2025,2025,1,4,3598,0,0,0,3598,01/13/2025,12/31/2025,9944554,01/13/2025,,0149,MANUAL
0403424-2024-0001133,R,01/20/2025,2025,1,4,8334,0,0,0,8334,01/20/2025,12/31/2025,9966136,01/16/2025,,0150,MANUAL
0403424-2024-0001134,R,01/20/2025,2025,1,4,10456,0,0,0,10456,01/21/2025,12/31/2025,9979189,01/20/2025,,0151,MANUAL
0403424-2024-0001135,R,01/07/2025,2025,1,4,4126.75,0,0,0,4126.75,01/27/2025,12/31/2025,2373025,01/27/2025,,0152,MANUAL
0403424-2025-0001136,N,01/30/2025,2025,1,4,3428,0,0,0,3428,02/20/2025,12/31/2025,2389993,02/20/2025,,0153,MANUAL
0403424-2024-0001137,R,02/10/2025,2025,1,4,5278,0,0,0,5278,02/10/2025,12/31/2025,2388162,02/04/2025,,0154,MANUAL
0403424-2024-0001138,R,01/31/2025,2025,1,4,3448,0,0,0,3448,02/11/2025,12/31/2025,9978801,01/31/2025,,0155,MANUAL
0403424-2024-0001139,R,01/25/2025,2025,1,4,3398,0,0,0,3398,01/08/2025,12/31/2025,9946751,01/08/2025,,0156,MANUAL
0403424-2024-0001142,R,01/14/2025,2025,1,4,7948,0,0,0,7948,01/23/2025,12/31/2025,9939518,01/20/2025,,0159,MANUAL
0403424-2024-0001144,R,01/14/2025,2025,1,4,5523,0,0,0,5523,01/10/2025,12/31/2025,9944424,01/08/2025,,0161,MANUAL
0403424-2024-0001145,R,01/14/2025,2025,1,4,7169,0,0,0,7169,01/31/2025,12/31/2025,2387373,01/31/2025,,0162,MANUAL
0403424-2024-0001146,R,01/03/2025,2025,1,4,3198,0,0,0,3198,02/17/2025,12/31/2025,2372217,02/17/2025,,0163,MANUAL
0403424-2024-0001148,R,01/25/2025,2025,1,4,4010,0,0,0,4010,01/25/2025,12/31/2025,2379268,01/25/2025,,0165,MANUAL
0403424-2024-0001149,R,01/02/2025,2025,1,4,4370,0,0,0,4370,01/25/2025,12/31/2025,2372716,01/25/2025,,0166,MANUAL
0403424-2024-0001150,R,01/30/2025,2025,1,4,4498,0,0,0,4498,01/31/2025,12/31/2025,2371911,01/30/2025,,0167,MANUAL
0403424-2024-0001151,R,01/07/2025,2025,1,4,5815,0,0,0,5815,01/14/2025,12/31/2025,9965969,01/14/2025,,0168,MANUAL
0403424-2024-0001153,R,01/02/2025,2025,1,4,7300,0,0,0,7300,01/14/2025,12/31/2025,9965970,01/14/2025,,0170,MANUAL
0403424-2024-0001154,R,01/14/2025,2025,1,4,23008.07,0,0,0,23008.07,01/14/2025,12/31/2025,9965972,01/14/2025,,0171,MANUAL
0403424-2024-0001155,R,01/02/2025,2025,1,4,4346,0,0,0,4346,01/04/2025,12/31/2025,5814179,01/03/2025,,0172,MANUAL
0403424-2024-0001156,R,01/22/2025,2025,1,4,6378,0,0,0,6378,01/27/2025,12/31/2025,2369713,01/22/2025,,0173,MANUAL
0403424-2024-0001157,R,01/20/2025,2025,1,4,6218,0,0,0,6218,01/27/2025,12/31/2025,2379360,01/27/2025,,0174,MANUAL
0403424-2024-0001158,R,01/08/2025,2025,1,4,5698,0,0,0,5698,01/04/2025,12/31/2025,5457472,01/02/2025,,0175,MANUAL
0403424-2024-0001160,R,01/07/2025,2025,1,4,10514.75,0,0,0,10514.75,01/10/2025,12/31/2025,9963321,01/10/2025,,0177,MANUAL
0403424-2024-0001161,R,02/23/2025,2025,1,4,3290.5,0,0,0,3290.5,01/20/2025,12/31/2025,9966374,01/20/2025,,0178,MANUAL
0403424-2024-0001162,R,01/03/2025,2025,1,4,8716,0,0,0,8716,01/04/2025,12/31/2025,7060212,01/02/2025,,0179,MANUAL
0403424-2024-0001164,R,01/16/2025,2025,1,4,27434.2,0,0,0,27434.2,01/04/2025,12/31/2025,7060208,01/02/2025,,0181,MANUAL
0403424-2024-0001166,R,01/02/2025,2025,1,4,77958.91,0,0,0,77958.91,01/21/2025,12/31/2025,9979232,01/21/2025,,0183,MANUAL
0403424-2024-0001167,R,01/10/2025,2025,1,4,9176,0,0,0,9176,01/09/2025,12/31/2025,5812855,01/08/2025,,0184,MANUAL
0403424-2024-0001169,R,01/09/2025,2025,1,4,3073,0,0,0,3073,01/10/2025,12/31/2025,5812954,01/09/2025,,0186,MANUAL
0403424-2024-0001170,R,02/24/2025,2025,1,4,4047.63,0,0,0,4047.63,02/24/2025,12/31/2025,2372269,02/24/2025,,0187,MANUAL
0403424-2024-0001171,R,01/06/2025,2025,1,4,6128,0,0,0,6128,01/09/2025,12/31/2025,9946747,01/08/2025,,0188,MANUAL
0403424-2024-0001172,R,01/20/2025,2025,1,4,5295.5,0,0,0,5295.5,01/30/2025,12/31/2025,5812667,01/04/2025,,0189,MANUAL
0403424-2024-0001173,R,01/20/2025,2025,1,4,6078,0,0,0,6078,01/22/2025,12/31/2025,9976997,01/22/2025,,0190,MANUAL
0403424-2024-0001174,R,01/20/2025,2025,1,4,15774,0,0,0,15774,01/04/2025,12/31/2025,4864847,01/02/2025,,0191,MANUAL
0403424-2024-0001175,R,01/02/2025,2025,1,4,6298,0,0,0,6298,01/04/2025,12/31/2025,5457645,01/02/2025,,0192,MANUAL
0403424-2024-0001176,R,01/02/2025,2025,1,4,6273,0,0,0,6273,01/11/2025,12/31/2025,9946966,01/11/2025,,0193,MANUAL
0403424-2024-0001180,R,01/08/2025,2025,1,4,7818,0,0,0,7818,01/08/2025,12/31/2025,9946699,01/08/2025,,0197,MANUAL
0403424-2024-0001181,R,01/17/2025,2025,1,4,16069,0,0,0,16069,01/22/2025,12/31/2025,9964028,01/22/2025,,0198,MANUAL
0403424-2024-0001182,R,01/02/2025,2025,1,4,9848,0,0,0,9848,01/22/2025,12/31/2025,9964034,01/22/2025,,0199,MANUAL
0403424-2024-0001183,R,01/20/2025,2025,1,1,109007.26,0,0,0,109007.26,01/20/2025,12/31/2025,9966406,01/20/2025,,0200,MANUAL
0403424-2024-0001183,R,01/20/2025,2025,2,2,5881.75,0,0,0,5881.75,01/20/2025,12/31/2025,1445159,04/14/2025,,0200,MANUAL
0403424-2024-0001184,R,01/02/2025,2025,1,1,17563,0,0,0,17563,01/04/2025,12/31/2025,7060206,01/02/2025,,0201,MANUAL
0403424-2024-0001184,R,01/02/2025,2025,2,2,12875.5,0,0,0,12875.5,01/04/2025,12/31/2025,2372620,04/11/2025,,0201,MANUAL
0403424-2024-0001185,R,01/02/2025,2025,1,4,5748,0,0,0,5748,01/04/2025,12/31/2025,4864785,01/02/2025,,0202,MANUAL
0403424-2024-0001186,R,01/11/2025,2025,1,4,4466,0,0,0,4466,01/08/2025,12/31/2025,9945828,01/08/2025,,0203,MANUAL
0403424-2024-0001187,R,01/11/2025,2025,1,4,3886,0,0,0,3886,01/04/2025,12/31/2025,5457627,01/02/2025,,0204,MANUAL
0403424-2024-0001190,R,01/03/2025,2025,1,4,4098,0,0,0,4098,01/17/2025,12/31/2025,9963648,01/17/2025,,0207,MANUAL
0403424-2024-0001191,R,01/04/2025,2025,1,4,10348,0,0,0,10348,01/04/2025,12/31/2025,5457422,01/02/2025,,0208,MANUAL
0403424-2025-0001192,N,01/03/2025,2025,1,4,2528,0,0,0,2528,02/14/2025,12/31/2025,2410025,02/12/2025,,0209,MANUAL
0403424-2024-0001193,R,01/03/2025,2025,1,4,15370,0,0,0,15370,01/22/2025,12/31/2025,9979299,01/22/2025,,0210,MANUAL
0403424-2024-0001194,R,01/03/2025,2025,1,4,99259.74,0,0,0,99259.74,01/17/2025,12/31/2025,9963684,01/17/2025,,0211,MANUAL
0403424-2024-0001195,R,01/10/2025,2025,1,4,13066,0,0,0,13066,01/04/2025,12/31/2025,5812559,01/03/2025,,0212,MANUAL
0403424-2024-0001197,R,01/10/2025,2025,1,4,6876,0,0,0,6876,01/17/2025,12/31/2025,9944559,01/14/2025,,0214,MANUAL
0403424-2024-0001198,R,01/21/2025,2025,1,4,8393,0,0,0,8393,01/17/2025,12/31/2025,9944558,01/14/2025,,0215,MANUAL
0403424-2024-0001200,R,01/03/2025,2025,1,4,4320,0,0,0,4320,01/04/2025,12/31/2025,7060217,01/02/2025,,0217,MANUAL
0403424-2024-0001201,R,01/10/2025,2025,1,4,10316,0,0,0,10316,01/07/2025,12/31/2025,5812761,01/07/2025,,0218,MANUAL
0403424-2024-0001202,R,01/10/2025,2025,1,4,4898,0,0,0,4898,01/04/2025,12/31/2025,4864934,01/04/2025,,0219,MANUAL
0403424-2024-0001203,R,01/06/2025,2025,1,4,10298,0,0,0,10298,01/07/2025,12/31/2025,5812764,01/07/2025,,0220,MANUAL
0403424-2024-0001204,R,01/17/2025,2025,1,4,2731,0,0,0,2731,01/07/2025,12/31/2025,5812760,01/07/2025,,0221,MANUAL
0403424-2024-0001205,R,01/10/2025,2025,1,4,10498,0,0,0,10498,01/07/2025,12/31/2025,5812758,01/07/2025,,0222,MANUAL
0403424-2024-0001206,R,01/10/2025,2025,1,4,10798,0,0,0,10798,01/23/2025,12/31/2025,9946429,01/10/2025,,0223,MANUAL
0403424-2024-0001207,R,01/20/2025,2025,1,4,10316,0,0,0,10316,01/07/2025,12/31/2025,5812762,01/07/2025,,0224,MANUAL
0403424-2024-0001208,R,01/10/2025,2025,1,4,10849.6,0,0,0,10849.6,01/23/2025,12/31/2025,9946434,01/10/2025,,0225,MANUAL
0403424-2024-0001209,R,04/02/2025,2025,1,4,4378,0,0,0,4378,01/21/2025,12/31/2025,9964009,01/21/2025,,0226,MANUAL
0403424-2024-0001210,R,01/20/2025,2025,1,4,5858,0,0,0,5858,01/22/2025,12/31/2025,9963210,01/20/2025,,0227,MANUAL
